"Codi_Districte","Codi_Barri","Nom_Barri","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"1","1","el Raval","180","180","177","177","179","191","191","189","199","212","238"
"1","2","el Barri Gòtic","184","184","188","188","194","192","193","193","194","201","217"
"1","3","la Barceloneta","69","69","68","68","66","65","64","64","64","64","85"
"1","4","Sant Pere, Santa Caterina i la Ribera","171","171","169","169","168","159","159","159","159","171","192"
"2","5","el Fort Pienc","343","343","331","331","331","332","332","330","328","333","360"
"2","6","la Sagrada Família","794","794","772","772","768","768","765","755","750","750","817"
"2","7","la Dreta de l'Eixample","1747","1747","1653","1653","1664","1660","1662","1650","1631","1655","1741"
"2","8","l'Antiga Esquerra de l'Eixample","727","727","709","709","708","710","709","688","670","678","718"
"2","9","la Nova Esquerra de l'Eixample","428","428","418","418","413","413","413","404","520","484","506"
"2","10","Sant Antoni","568","568","590","590","587","584","586","576","554","567","607"
"3","11","el Poble Sec - AEI Parc Montjuïc","546","546","518","518","519","519","515","498","487","513","538"
"3","12","la Marina del Prat Vermell - AEI Zona Franca","3","3","3","3","3","3","3","3","3","3","3"
"3","13","la Marina de Port","6","6","7","7","7","7","6","6","6","6","6"
"3","14","la Font de la Guatlla","74","74","73","73","73","73","73","73","73","131","132"
"3","15","Hostafrancs","187","187","168","168","177","172","177","175","174","177","176"
"3","16","la Bordeta","42","42","44","44","44","44","44","39","30","30","35"
"3","17","Sants - Badal","90","90","106","106","106","106","106","103","97","97","99"
"3","18","Sants","189","189","245","245","245","245","245","244","243","238","245"
"4","19","les Corts","171","171","210","210","209","208","206","202","201","211","201"
"4","20","la Maternitat i Sant Ramon","36","36","46","46","46","46","44","44","44","48","48"
"4","21","Pedralbes","8","8","11","11","11","11","11","11","11","11","11"
"5","22","Vallvidrera, el Tibidabo i les Planes","3","3","3","3","3","3","3","3","3","3","3"
"5","23","Sarrià","23","23","27","27","27","27","27","26","26","27","29"
"5","24","les Tres Torres","31","31","35","35","35","35","35","34","33","34","36"
"5","25","Sant Gervasi - la Bonanova","26","26","33","33","32","32","32","32","36","68","72"
"5","26","Sant Gervasi - Galvany","271","271","254","254","244","244","244","242","239","291","295"
"5","27","el Putxet i el Farró","158","158","154","154","156","144","143","154","154","198","199"
"6","28","Vallcarca i els Penitents","35","35","40","40","40","40","40","40","39","39","39"
"6","29","el Coll","13","13","20","20","20","20","20","20","20","20","20"
"6","30","la Salut","35","35","38","38","37","37","37","36","36","37","37"
"6","31","la Vila de Gràcia","768","768","754","754","753","750","749","734","725","762","794"
"6","32","el Camp d'en Grassot i Gràcia Nova","230","230","229","229","227","224","223","221","220","223","225"
"7","33","el Baix Guinardó","87","87","106","106","106","92","92","76","73","81","86"
"7","34","Can Baró","13","13","20","20","20","20","20","20","20","20","25"
"7","35","el Guinardó","54","54","75","75","75","75","70","70","70","74","74"
"7","36","la Font d'en Fargues","2","2","4","4","4","4","4","4","4","4","4"
"7","37","el Carmel","26","26","33","33","33","33","33","31","32","32","34"
"7","38","la Teixonera","9","9","9","9","9","9","9","7","6","5","5"
"7","39","Sant Genís dels Agudells","3","3","4","4","4","3","3","3","3","3","3"
"7","41","la Vall d'Hebron","0","0","1","1","1","1","1","1","1","1","1"
"7","43","Horta","4","4","7","7","7","7","6","6","6","6","6"
"8","44","Vilapicina i la Torre Llobeta","6","6","9","9","9","9","9","9","9","17","17"
"8","45","Porta","2","2","2","2","2","10","10","10","10","12","12"
"8","46","el Turó de la Peira","0","0","0","0","0","0","0","0","0","1","1"
"8","48","la Guineueta","1","1","1","1","1","1","1","1","1","1","1"
"8","49","Canyelles","1","1","1","1","1","1","1","1","1","1","2"
"8","50","les Roquetes","3","3","2","2","2","2","2","2","2","2","2"
"8","51","Verdun","2","2","3","3","3","3","3","3","3","3","3"
"8","52","la Prosperitat","4","4","4","4","3","3","3","3","3","3","3"
"9","57","la Trinitat Vella","5","5","4","4","4","4","4","4","4","5","5"
"9","59","el Bon Pastor","1","1","1","1","1","1","1","1","1","1","1"
"9","60","Sant Andreu","27","27","29","29","28","28","28","27","27","33","34"
"9","61","la Sagrera","21","21","22","22","22","22","22","22","22","22","23"
"9","62","el Congrés i els Indians","4","4","6","6","6","6","6","6","6","6","6"
"9","63","Navas","11","11","17","17","17","17","16","16","16","22","25"
"10","64","el Camp de l'Arpa del Clot","270","270","267","267","265","266","266","266","267","292","295"
"10","65","el Clot","50","50","51","51","50","50","50","48","46","49","52"
"10","66","el Parc i la Llacuna del Poblenou","101","101","103","103","101","101","98","98","98","100","101"
"10","67","la Vila Olímpica del Poblenou","111","111","111","111","108","108","108","107","105","105","106"
"10","68","el Poblenou","406","406","395","395","389","389","390","388","386","422","453"
"10","69","Diagonal Mar i el Front Marítim del Poblenou","145","145","129","129","128","128","127","126","125","125","128"
"10","70","el Besòs i el Maresme","30","30","32","32","32","32","32","32","32","32","32"
"10","71","Provençals del Poblenou","36","36","41","41","34","34","34","32","31","33","35"
"10","72","Sant Martí de Provençals","9","9","15","15","15","15","15","14","14","14","14"
"10","73","la Verneda i la Pau","6","6","9","9","9","9","9","9","9","9","9"
